Eurocode 3 (in accordance with the UK National Annex) (BS EN 10056-1: 2017),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Unequal leg angles (L), Section properties",,,,,,,,,,,,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Section designation,,,Dimensions and properties,,,,,,,,,,,,,,,,,,,,
Size,Thickness,,Mass per metre,Radius,,Dimension,,Second moment of area,,,,Radius of gyration,,,,Elastic modulus,,Angle,Torsional constant,Equivalent slenderness coefficient,,Mono-symmetry index,Area of section
,,,,Root,Toe,,,Axis y-y,Axis z-z,Axis u-u,Axis v-v,Axis y-y,Axis z-z,Axis u-u,Axis v-v,Axis y-y,Axis z-z,Axis y-y to Axis u-u,,Min,Max,,
h x b,t,,,r1,r2,cy,cz,,,,,,,,,,,Tan ?,IT,?a,?a,?a,
mm,mm,,kg/m,mm,mm,cm,cm,cm4,cm4,cm4,cm4,cm,cm,cm,cm,cm3,cm3, ,cm4, , , ,cm2
80x40,8.0,,7.07,7.00,3.50,2.94,0.963,57.6,9.61,60.9,6.34,2.53,1.03,2.60,0.838,11.4,3.16,0.253,2.05,2.61,3.73,6.85,9.01
,6.0,,5.41,7.00,3.50,2.85,0.884,44.9,7.59,47.6,4.93,2.55,1.05,2.63,0.845,8.73,2.44,0.258,0.899,3.48,5.12,9.22,6.89
75x50,8.0,,7.39,7.00,3.50,2.52,1.29,52.0,18.4,59.6,10.8,2.35,1.40,2.52,1.07,10.4,4.95,0.430,2.14,2.36,3.18,4.92,9.41
,6.0,,5.65,7.00,3.50,2.44,1.21,40.5,14.4,46.6,8.36,2.37,1.42,2.55,1.08,8.01,3.81,0.435,0.935,3.18,4.34,6.60,7.19
70x50,6.0,,5.41,7.00,3.50,2.23,1.25,33.4,14.2,39.7,7.92,2.20,1.44,2.40,1.07,7.01,3.78,0.500,0.899,2.96,3.89,5.44,6.89
65x50,5.0,,4.35,6.00,3.00,1.99,1.25,23.2,11.9,28.8,6.32,2.05,1.47,2.28,1.07,5.14,3.19,0.577,0.498,3.38,4.26,5.08,5.54
60x40,6.0,,4.46,6.00,3.00,2.00,1.01,20.1,7.12,23.1,4.16,1.88,1.12,2.02,0.855,5.03,2.38,0.431,0.735,2.51,3.39,5.26,5.68
,5.0,,3.76,6.00,3.00,1.96,0.972,17.2,6.11,19.7,3.54,1.89,1.13,2.03,0.860,4.25,2.02,0.434,0.435,3.02,4.11,6.34,4.79
60x30,5.0,,3.36,5.00,2.50,2.17,0.684,15.6,2.63,16.5,1.71,1.91,0.784,1.97,0.633,4.07,1.14,0.257,0.382,3.15,4.56,8.26,4.28
50x30,5.0,,2.96,5.00,2.50,1.73,0.741,9.36,2.51,10.3,1.54,1.57,0.815,1.65,0.639,2.86,1.11,0.352,0.340,2.51,3.52,5.99,3.78
45x30,4.0,,2.25,4.50,2.25,1.48,0.740,5.78,2.05,6.65,1.18,1.42,0.845,1.52,0.640,1.91,0.910,0.436,0.166,2.85,3.87,5.92,2.87
40x25,4.0,,1.93,4.00,2.00,1.36,0.623,3.89,1.16,4.35,0.700,1.26,0.687,1.33,0.534,1.47,0.619,0.380,0.142,2.51,3.48,5.75,2.46
40x20,4.0,,1.77,4.00,2.00,1.47,0.480,3.59,0.600,3.80,0.393,1.26,0.515,1.30,0.417,1.42,0.393,0.252,0.131,2.57,3.68,6.86,2.26
30x20,4.0,,1.46,4.00,2.00,1.03,0.541,1.59,0.553,1.81,0.330,0.925,0.545,0.988,0.421,0.807,0.379,0.421,0.110,1.79,2.39,3.95,1.86
,3.0,,1.12,4.00,2.00,0.990,0.502,1.25,0.437,1.43,0.256,0.935,0.553,1.00,0.424,0.621,0.292,0.427,0.0490,2.40,3.28,5.31,1.43
,,,,,,,,,,,,,,,,,,,,,,,
+ These sections are additional to the range in BS EN 10056-1,,,,,,,,,,,,,,,,,,,,,,,
cy is the distance from the back of the short leg to the centre of gravity,,,,,,,,,,,,,,,,,,,,,,,
cz is the distance from the back of the long leg to the centre of gravity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
This data was downloaded from the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/l-unequal/ec3-ukna/section-properties-dimensions-properties/) on 28/05/2026 at 11:15:37 ,,,,,,,,,,,,,,,,,,,,,,,
"© 2026, SCI. This data is subject to the same terms as defined by the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/about/)",,,,,,,,,,,,,,,,,,,,,,,
